"id","solution_id","reviewer_id","start","stop","time_left","accept"
"1","3","27","1304095698","1304095758","1754","1"
"2","4","22","1304095188","1304095206","2306","1"
"3","5","28","1304095276","1304095320","2192","1"
"4","1","26","1304095267","1304095423","2089","1"
"5","10","29","1304095456","1304095469","2043","1"
"6","2","29","1304095471","1304095513","1999","1"
"7","9","25","1304095343","1304095382","2130","1"
"8","8","23","","","",""
"9","7","29","1304095520","1304095613","1899","1"
"10","11","26","1304095428","1304095488","2024","1"
"11","17","26","1304095493","1304095523","1989","0"
"12","14","22","1304095280","1304095301","2211","1"
"13","16","26","1304095529","1304095550","1962","1"
"14","20","29","1304095617","1304095624","1888","1"
"15","13","24","1304095395","1304095462","2050","0"
"16","6","22","1304095303","1304095471","2041","1"
"17","19","23","","","",""
"18","18","28","1304095422","1304095474","2038","0"
"19","21","28","1304095515","1304095532","1980","0"
"20","15","23","","","",""
"21","22","22","1304095520","1304095598","1914","1"
"22","25","26","1304095553","1304095592","1920","1"
"23","12","27","1304095767","1304095852","1660","1"
"24","27","22","","","",""
"25","24","22","","","",""
"26","23","22","","","",""
"27","26","26","1304095594","1304095603","1909","1"
"28","30","28","1304095535","1304095567","1945","1"
"29","31","29","1304095627","1304095641","1871","1"
"30","29","24","1304095530","1304095652","1860","0"
"31","33","26","1304095604","1304095612","1900","1"
"32","34","25","1304095564","1304095579","1933","1"
"33","37","22","1304095611","1304095624","1888","1"
"34","32","22","1304096568","1304096588","924","1"
"35","36","23","","","",""
"36","38","25","1304095608","1304095643","1869","1"
"37","39","22","","","",""
"38","35","29","1304095646","1304095672","1840","0"
"39","40","23","","","",""
"40","41","29","1304095674","1304095694","1818","0"
"41","28","27","","","",""
"42","42","24","1304095741","1304095789","1723","1"
"43","45","27","","","",""
"44","43","22","","","",""
"45","44","25","1304095735","1304095765","1747","1"
"46","49","26","1304095931","1304095937","1575","1"
"47","50","22","1304096130","1304096141","1371","1"
"48","51","26","1304095939","1304095993","1519","1"
"49","46","28","1304095824","1304095990","1522","0"
"50","55","26","1304095997","1304096033","1479","0"
"51","47","27","","","",""
"52","53","22","1304095779","1304095814","1698","1"
"53","57","23","","","",""
"54","56","24","1304095839","1304095927","1585","1"
"55","52","27","1304096664","1304096980","532","1"
"56","58","22","1304096154","1304096208","1304","1"
"57","61","28","1304095993","1304096031","1481","1"
"58","60","28","1304096192","1304096212","1300","1"
"59","62","23","","","",""
"60","54","25","","","",""
"61","59","25","1304095987","1304096050","1462","0"
"62","63","26","1304096050","1304096075","1437","1"
"63","65","28","1304096214","1304096236","1276","1"
"64","48","24","1304095933","1304096016","1496","1"
"65","66","26","1304096079","1304096099","1413","0"
"66","67","27","","","",""
"67","64","27","1304097061","1304097104","408","1"
"68","68","26","1304096102","1304096121","1391","1"
"69","70","27","","","",""
"70","72","25","","","",""
"71","75","24","1304096433","1304096470","1042","1"
"72","71","23","","","",""
"73","78","29","1304096126","1304096177","1335","1"
"74","76","28","1304096239","1304096268","1244","1"
"75","77","25","1304096288","1304096300","1212","0"
"76","74","27","","","",""
"77","73","29","1304096180","1304096201","1311","0"
"78","80","22","1304096231","1304096331","1181","1"
"79","79","22","1304097158","1304097214","298","0"
"80","81","29","1304096204","1304096267","1245","1"
"81","84","23","","","",""
"82","82","25","1304096317","1304096359","1153","1"
"83","69","26","1304096425","1304096460","1052","1"
"84","86","23","","","",""
"85","85","29","1304096323","1304096342","1170","0"
"86","90","22","","","",""
"87","87","29","1304096346","1304096362","1150","0"
"88","92","29","1304096366","1304096375","1137","0"
"89","89","27","","","",""
"90","94","23","","","",""
"91","91","27","1304097131","1304097172","340","1"
"92","96","22","","","",""
"93","95","23","","","",""
"94","100","26","1304096464","1304096472","1040","1"
"95","97","27","1304097177","1304097192","320","1"
"96","98","24","1304096704","1304096753","759","0"
"97","99","24","","","",""
"98","93","28","1304096572","1304096600","912","0"
"99","101","23","","","",""
"100","88","25","1304096484","1304096561","951","0"
"101","102","29","1304096513","1304096536","976","0"
"102","103","23","","","",""
"103","107","29","1304096539","1304096554","958","1"
"104","104","25","1304096573","1304096607","905","0"
"105","106","22","1304097442","1304097449","63","1"
"106","109","29","1304096557","1304096567","945","1"
"107","110","25","1304096611","1304096679","833","1"
"108","111","29","1304096570","1304096584","928","1"
"109","105","26","1304096609","1304096650","862","0"
"110","112","26","1304096653","1304096807","705","0"
"111","108","29","1304096620","1304096664","848","0"
"112","83","23","","","",""
"113","114","28","1304096722","1304096743","769","0"
"114","116","27","","","",""
"115","117","27","","","",""
"116","115","29","1304096693","1304096706","806","1"
"117","113","25","1304096851","1304096886","626","1"
"118","120","22","1304096684","1304096708","804","1"
"119","123","26","1304096811","1304096817","695","1"
"120","122","26","1304096821","1304096841","671","1"
"121","124","27","1304097344","1304097377","135","1"
"122","118","26","1304096845","1304097065","447","1"
"123","121","28","1304096809","1304096878","634","0"
"124","125","27","1304097382","1304097399","113","1"
"125","127","25","1304096889","1304096899","613","0"
"126","126","25","1304096903","1304096941","571","1"
"127","129","22","1304096796","1304096815","697","0"
"128","128","28","1304096883","1304097003","509","0"
"129","132","22","1304096832","1304096869","643","1"
"130","130","23","","","",""
"131","133","24","","","",""
"132","135","24","","","",""
"133","131","25","1304097047","1304097063","449","1"
"134","134","29","1304096851","1304096911","601","0"
"135","137","27","","","",""
"136","136","25","1304097065","1304097084","428","1"
"137","119","24","","","",""
"138","139","25","1304097244","1304097249","263","0"
"139","141","26","1304097069","1304097084","428","1"
"140","140","27","1304097406","1304097454","58","0"
"141","142","28","1304097095","1304097128","384","0"
"142","144","23","","","",""
"143","138","27","","","",""
"144","146","23","","","",""
"145","143","26","1304097089","1304097117","395","0"
"146","150","27","1304097475","1304097490","22","1"
"147","147","28","1304097215","1304097246","266","0"
"148","148","28","1304097332","1304097397","115","0"
"149","151","24","","","",""
"150","152","23","","","",""
"151","149","27","","","",""
"152","153","24","","","",""
"153","154","27","","","",""
"154","155","23","","","",""
"155","156","23","","","",""
"156","158","23","","","",""
"157","160","28","1304097406","1304097430","82","1"
"158","157","23","","","",""
"159","162","26","1304097245","1304097263","249","1"
"160","161","22","1304097233","1304097247","265","0"
"161","163","23","","","",""
"162","164","27","","","",""
"163","145","28","","","",""
"164","159","28","","","",""
"165","167","27","","","",""
"166","166","23","","","",""
"167","165","28","","","",""
"168","169","25","1304097253","1304097263","249","1"
"169","171","24","","","",""
"170","172","22","","","",""
"171","173","26","1304097267","1304097289","223","1"
"172","177","28","","","",""
"173","175","25","1304097268","1304097300","212","0"
"174","168","22","","","",""
"175","170","27","","","",""
"176","179","22","","","",""
"177","176","28","","","",""
"178","178","23","","","",""
"179","185","29","1304097324","1304097357","155","1"
"180","183","23","","","",""
"181","180","27","","","",""
"182","181","25","","","",""
"183","182","22","","","",""
"184","184","23","","","",""
"185","186","27","","","",""
"186","190","24","","","",""
"187","191","25","","","",""
"188","187","27","","","",""
"189","193","26","1304097410","1304097429","83","0"
"190","189","28","","","",""
"191","192","28","","","",""
"192","194","22","1304097459","1304097469","43","0"
"193","196","28","","","",""
"194","195","26","","","",""
"195","188","27","","","",""
"196","201","26","","","",""
"197","199","23","","","",""
"198","200","28","","","",""
"199","197","22","","","",""
